OBJECT_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
67760,SHADOW MOUNTAIN,1994,2449570.5,218,1500,1,Lightning,2449572.5,220,1700,7,B,43.71194444,-110.5863889
1758723,,2014,2456875.5,218,1243,5,Debris Burning,2456875.5,218,1305,1,B,37.70083333,-91.54972222
1121938,WEED                     ,2007,2454318.5,218,,4,Campfire,,,,180,D,41.415,-122.3530556
1639493,COAL MINE RD,2013,2456510.5,218,945,1,Lightning,2456512.5,220,800,0.1,A,42.82166667,-122.6705556
1217941,COYOTE CREEK,2009,2455049.5,218,1815,1,Lightning,2455054.5,223,1621,0.1,A,42.6776,-123.3751
1734373,ROBINSON,2014,2456875.5,218,846,1,Lightning,2456875.5,218,1210,0.1,A,42.29309,-120.96879
166457,WHITEHORSE GULCH,2004,2453222.5,218,1800,1,Lightning,2453223.5,219,1830,0.1,A,46.93666667,-114.7633333
1784033,GRASS FIRE,2014,2456875.5,218,,9,Miscellaneous,,,,1,B,33.976108,-101.205025
1067765,GANONG                   ,1993,2449205.5,218,,9,Miscellaneous,,,,0.1,A,36.81694444,-121.6261111
268000,BIRD II,2006,2453953.5,218,527,9,Miscellaneous,2453953.5,218,727,0.1,A,43.2436,-100.8608
1632760,12-0000299,2012,2456144.5,218,,5,Debris Burning,,,,1,B,30.8197607,-97.9571634
12997,MOWICH 4,2006,2453953.5,218,1930,3,Smoking,2453953.5,218,2330,0.1,A,45.79611111,-122.0527778
279526,MKKINNEY,2003,2452857.5,218,914,1,Lightning,2452857.5,218,1145,0.1,A,48.2882,-118.2314
1559302,WOODS FIRE - MARY LAWSON RD,2011,2455779.5,218,,2,Equipment Use,,,,1,B,32.487416,-94.86211
1124380,BOWMAN                   ,1992,2448839.5,218,,2,Equipment Use,,,,5,B,40.35305555,-122.4338889
518046,,2006,2453953.5,218,,9,Miscellaneous,,,,0.2,A,35.89166998,-76.60023002
1486101,FY2012-LAURENS-016,2011,2455779.5,218,1714,1,Lightning,2455780.5,219,2117,63.9,C,32.64442319,-82.96439137
1468356,WHIX TWO,2011,2455779.5,218,1345,1,Lightning,2455779.5,218,1438,1,B,39.3325,-114.8756
463661,,1997,2450666.5,218,,13,Missing/Undefined,,,,0.1,A,47.211729,-116.530119
37083,CALENDAR,2009,2455049.5,218,1359,1,Lightning,2455049.5,218,1800,0.1,A,45.60944444,-115.6652778
158031,RIDGE TOP #5,2003,2452857.5,218,1200,1,Lightning,2452861.5,222,1200,0.5,B,48.46361111,-121.2319444
1068649,PG&E #20                 ,1998,2451031.5,218,,2,Equipment Use,,,,0.2,A,36.76,-121.4080556
279525,COBBS CR,2003,2452857.5,218,834,1,Lightning,2452857.5,218,1200,0.1,A,48.3318,-118.3097
348720,BURNT,2009,2455049.5,218,530,1,Lightning,2455049.5,218,1800,1,B,40.6878,-112.6367
1226531,MS0    0808-3380805004,2008,2454683.5,218,1732,13,Missing/Undefined,,,,3,B,32.49051,-88.62208
1187869,,2010,2455414.5,218,,1,Lightning,,,,0.2,A,46.3759,-111.9985
569798,,2008,2454683.5,218,,13,Missing/Undefined,,,,3,B,34.17083,-95.55117
107864,SOUTH PARK,1998,2451032.5,219,1240,1,Lightning,2451033.5,220,1230,0.2,A,45.0275,-117.2947222
682734,,1995,2449936.5,219,,3,Smoking,,,,1,B,38.09299,-102.45647
1093657,BREAKWATER               ,1992,2448840.5,219,,8,Children,,,,0.1,A,41.76694444,-124.2219444
29434,CABIN,2008,2454684.5,219,930,1,Lightning,2454684.5,219,1300,0.1,A,40.64722222,-121.6233333
137656,TROUGH SPRING,2001,2452128.5,219,1800,1,Lightning,2452132.5,223,1242,0.4,B,36.38694444,-115.7716667
1817452,BLANCHARD POINT,2015,2457241.5,219,1136,4,Campfire,2457241.5,219,1225,0.01,A,47.019,-113.385
324318,RED WASH,2009,2455050.5,219,1241,1,Lightning,2455052.5,221,1340,0.3,B,39.8464,-108.9204
106025,JENKINS,1998,2451032.5,219,1235,1,Lightning,2451032.5,219,2030,0.1,A,45.54666667,-116.38
138151,MAVREESO,2001,2452128.5,219,1700,1,Lightning,2452128.5,219,1800,0.1,A,37.65472222,-108.2977778
66499,,1994,2449571.5,219,1840,1,Lightning,2449572.5,220,1600,0.1,A,35.27333333,-111.87
715648,JONES GULCH,2004,2453223.5,219,,1,Lightning,2453223.5,219,,0.01,A,44.60084,-120.59835
1047255,PUMP OUT FIRE(CODE1),2001,2452128.5,219,,2,Equipment Use,,,,0.1,A,35.6833,-75.8667
1311525,,2006,2453954.5,219,1741,9,Miscellaneous,2453954.5,219,1741,0.1,A,40.75015899,-73.42227098
1791181,WOURTH,2015,2457241.5,219,1715,1,Lightning,2457241.5,219,1830,0.1,A,39.77138889,-120.4330556
157061,DOE CREEK,2003,2452858.5,219,1400,1,Lightning,2452859.5,220,1400,0.1,A,44.05138889,-122.2625
29699,BELVA,2008,2454684.5,219,845,1,Lightning,2454684.5,219,1200,0.5,B,35.92333333,-82.71555556
1564814,BRUSH CREEK,2012,2456145.5,219,1130,5,Debris Burning,2456145.5,219,1830,2.25,B,44.03666667,-103.3430556
23763,LITTLE SISTER,2007,2454319.5,219,1411,1,Lightning,2454321.5,221,1715,0.01,A,46.74055556,-121.3663889
1178722,ISABELLA POINT,2010,2455415.5,219,900,1,Lightning,2455483.5,287,858,0.1,A,46.9013889,-115.606944
807045,1333 APPLEGATE,2008,2454684.5,219,,2,Equipment Use,2454684.5,219,,0.01,A,42.22,-123.04722
132611,BRONCO,2000,2451762.5,219,1811,2,Equipment Use,2451762.5,219,1830,0.1,A,34.57,-118.7030556
85738,QUARTZ CREEK,1996,2450301.5,219,1330,4,Campfire,2450301.5,219,1515,0.1,A,48.52,-115.675
875099,,1999,2451397.5,219,,5,Debris Burning,,,,1.3,B,34.6703,-85.3006
1091125,SEVILLE #3               ,1999,2451397.5,219,,9,Miscellaneous,,,,0.5,B,36.56611111,-119.2230556
71241,JUMP,1994,2449571.5,219,1200,4,Campfire,2449571.5,219,1500,0.1,A,39.32333333,-120.6516667
119061,SALISH SPRING,1999,2451397.5,219,1142,1,Lightning,2451397.5,219,1215,0.1,A,48.66166667,-114.9233333
772266,ELKHEAD RD.,2006,2453954.5,219,,1,Lightning,2453954.5,219,,0.01,A,43.46667,-123.23333
1765703,FM 275 SOUTH,2014,2456876.5,219,,5,Debris Burning,,,,1,B,32.974462,-95.7911239
676401,,2005,2453589.5,219,,2,Equipment Use,,,,1.8,B,44.57249357,-91.14427731
1507529,WHERE HANK KILLED THE BARE,2011,2455780.5,219,2000,13,Missing/Undefined,2455780.5,219,2050,0.4,B,35.5,-82.16885
167269,793,2004,2453223.5,219,1355,1,Lightning,2453223.5,219,2056,0.2,A,44.39388889,-119.7441667
1261174,FY2003-COOK-013,2002,2452493.5,219,1818,5,Debris Burning,2452493.5,219,1818,0.46,B,31.28287627,-83.42971538
1564358,ROCK PEAK,2012,2456145.5,219,1100,9,Miscellaneous,2456145.5,219,1708,0.1,A,48.05305556,-115.7119444
347831,TOPLIFT,2001,2452128.5,219,1500,1,Lightning,2452128.5,219,1800,0.1,A,40.17759,-112.16368
462408,,1999,2451397.5,219,,13,Missing/Undefined,,,,0.1,A,48.546188,-116.40983
792310,,1996,2450301.5,219,1814,5,Debris Burning,2450301.5,219,1840,0.02,A,45.303336,-87.98896288
404908,,2004,2453223.5,219,,5,Debris Burning,,,,0.1,A,30.355,-86.22832999
718478,ALDER CREEK,1999,2451397.5,219,1845,13,Missing/Undefined,2451399.5,221,1220,0.25,A,48.307,-115.28225
1653934,TIMBER,2013,2456511.5,219,724,9,Miscellaneous,2456511.5,219,1148,0.06,A,41.136833,-121.485167
1808992,6119,2015,2457241.5,219,1603,11,Powerline,2457241.5,219,1708,2,B,33.24333333,-94.42471667
711983,MT CITY SCHOOL,1994,2449571.5,219,2127,13,Missing/Undefined,2449571.5,219,2234,0.01,A,46.81266,-111.92482
1063127,VALENCIA,2009,2455051.5,220,1030,1,Lightning,2455054.5,223,1400,0.25,A,36.66138889,-107.2097222
1581492,CAMEL,2012,2456146.5,220,1603,1,Lightning,2456148.5,222,1804,247,D,40.0353,-112.87493
124859,FOREST CREEK,1999,2451398.5,220,1830,1,Lightning,2451399.5,221,1900,0.1,A,48.08472222,-113.7513889
226477,TREEINROCK,1994,2449572.5,220,1852,1,Lightning,2449573.5,221,1530,0.1,A,39.4999,-115.9509
1682485,,2013,2456512.5,220,1445,5,Debris Burning,,,,1.65,B,30.862,-91.089
1104798,FOOTHILL                 ,2006,2453955.5,220,,2,Equipment Use,,,,0.1,A,38.36694444,-122.125
1409560,,1997,2450668.5,220,1715,5,Debris Burning,2450668.5,220,1836,0.22,A,31.7893,-81.4722
380155,,1997,2450668.5,220,,8,Children,,,,0.1,A,64.82297,-147.3974
528084,,2007,2454320.5,220,,13,Missing/Undefined,,,,0.2,A,34.72163,-79.57212
140786,MINE,2001,2452129.5,220,1945,1,Lightning,2452130.5,221,1630,0.1,A,40.1025,-120.3008333
160397,KANGAROO,2003,2452859.5,220,1332,1,Lightning,2452859.5,220,1600,0.1,A,35.35166667,-111.4683333
